index,text
EC22143,"<s>Human: This incident occurred on February 20, 2022, at 7:00 PM, in Bellevue, King county, on the 520 route increasing milepost direction at milepost 7.13. The location is an Urban - Principal Arterial, not at an intersection and not related to a driveway, with unknown additional location characteristics.The level of access control is Limited Access Fully Controlled, speed limit is 60, average annual daily traffic is 76000. The road width is 60, the road surface is made of Asphalt, the right and left shoulders width is 10 and unknown, respectively, and the surface type of the left shoulder is unknown. This road has a median-separated road with a Jersey type barrier and a median width of 20. Unknown if occurred in the work zone, the road conditions were wet, and the lighting condition was dark, but street lights were on.There were no pedestrians involved, 2 vehicles involved. The accident has no influence of alcohol or drugs. There were no objects involved. Vehicle1 was moving westward, in the direction of decreasing milepost, Vehicle2 was also moving westward, in the same direction. The first vehicle was moving straight when the second vehicle, which was also moving straight.The unit 1, is a Vanette Under 10,000 lb, not a commercial vehicle. The airbag was not deployed. The vehicle had no defects. The driver was going straight ahead, not ejected, and was cited for exceeding a reasonable safe speed and following too closely. Person 1: Motor Vehicle Driver, Male, 62, Lap & Shoulder Used.

The unit 2, is unknown, not a commercial vehicle. The airbag was not deployed. The vehicle had no defects. The driver was slowing, not ejected, and had no violations or factors contributing to the accident. Person 2: Motor Vehicle Driver, Female, 43, Lap & Shoulder Used.
</s><s>Assistant: <ZERO>
<\s>"
EC37920,"<s>Human: This incident occurred on April 16, 2022, at 3:00 PM, in Sumner, Pierce, on the 167 route increasing milepost direction at milepost 0.29. The location is an Urban - Collector, near an intersection but not exactly at it, specifically, it occurred at a bridge or overpass.The level of access control is unknown, speed limit is unknown, average annual daily traffic is 0. The road width is 60 feet, the road surface is made of Portland Concrete Cement, the right and left shoulders width is 0 feet, and the surface type of the left shoulder is unknown. This road is not median-separated, with no median barrier and a median width of 0 feet. The accident did not occur in a work zone, it happened under daylight with dry road surface conditions.There were no pedestrians involved, 2 vehicles involved. The accident has no influence of alcohol or drugs. There were no objects involved. Vehicle1 was moving west, in the direction of the decreasing milepost, Vehicle2 was also moving west, in the direction of the decreasing milepost. The first vehicle was attempting to change lanes to the left when the second vehicle, which was moving straight.The unit 1, is a Vanette Under 10,000 lb, not a commercial vehicle. The status of the airbag is unknown. The vehicle had no defects. The driver was changing lanes. Person 1: Motor Vehicle Passenger, Male, 22, Lap & Shoulder Used. Person 2: Motor Vehicle Driver, Male, 31, Lap & Shoulder Used.

The unit 2, is an unknown special vehicle type, unknown commercial vehicle. The airbag was not deployed. The vehicle had no defects. The driver, who was not ejected, was going straight ahead and exceeded the stated speed limit. Person 3: Motor Vehicle Driver, Male, 18, Lap & Shoulder Used.
</s><s>Assistant: <ONE>
<\s>"
EC12627,"<s>Human: This incident occurred on January 18, 2022, at 9:00 AM, in Issaquah, King County, on the 900 route increasing milepost direction at milepost 13.12. The location is an Urban - Principal Arterial, at a place related to an intersection but not at the intersection itself. Details about the road classification indicate it is an Urban Multilane Undivided Non-Freeway. Additional location characteristics were not provided.The level of access control is Non Limited Access Average Restriction, speed limit is 40, average annual daily traffic is 21000. The road width is 45, the road surface is made of Asphalt, the right and left shoulders width is 8 and 0, respectively, and the surface type of the left shoulder is unknown. This road is not median-separated, and there is no median barrier or median width to describe. The occurrence of the accident in a work zone is unknown, and the accident happened during daylight with a wet road surface condition.There were no pedestrians involved, 2 vehicles involved. The accident has no influence of alcohol or drugs. There were no objects involved. Vehicle1 was moving north, in the direction of increasing milepost, Vehicle2 was moving north, in the direction of increasing milepost. The first vehicle was attempting to change lanes to the right when the second vehicle, which was moving straight.The unit 1, is an unknown, non-commercial vehicle. The airbag was not deployed. The vehicle had no defects. The driver was changing lanes and was not ejected; they had other contributing circumstances not listed involved in their actions. Person 1: Motor Vehicle Driver, Female, 49, Lap & Shoulder Used.

The unit 2, is an unknown, non-commercial vehicle. The airbag was not deployed. The vehicle had no defects. The driver was going straight ahead, was not ejected, and had no contributing factors. Person 1: Motor Vehicle Driver, Female, 44, Lap & Shoulder Used.
</s><s>Assistant: <ZERO>
<\s>"
EC68613,"<s>Human: This incident occurred on July 6, 2022, at 5:00 PM, in Bellevue, King County, on the 405 route increasing milepost direction at milepost 9.47. The location is an Urban - Interstate, not at an intersection and not related to any driveway. The roadway class is Urban Freeways.The level of access control is Limited Access Fully Controlled, speed limit is 60, average annual daily traffic is 138000. The road width is 48, the road surface is made of Asphalt, the right and left shoulders width is 8 and 4, and the surface type of the left shoulder is Asphalt. This road has a median that is separated by a JERSEY TYPE BARRIER and the width of the median is 32. The accident did not occur in a work zone, with the conditions being in daylight and on a dry road surface.There were no pedestrians involved, 2 vehicles involved. The accident has no influence of alcohol or drugs. There were no objects involved. Vehicle1 was moving southwest, in the direction of decreasing milepost, Vehicle2 was also moving southwest, in the direction of decreasing milepost. Both the first vehicle and the second vehicle were moving straight.The unit 1, is a Van over 10,001 lb, not a commercial vehicle. The airbag was not deployed. The vehicle had no defects. The driver was going straight ahead, was not ejected, and was following too closely. Person 1: Motor Vehicle Driver, Male, 21, Lap & Shoulder Used.

The unit 2 is unknown, not a commercial vehicle. The airbag was not deployed. The vehicle had no defects. The driver was slowing, was not ejected, and had no violations or factors listed. Person 2: Motor Vehicle Driver, Male, 24, Lap & Shoulder Used.
</s><s>Assistant: <ZERO>
<\s>"
EC42510,"<s>Human: This incident occurred on April 13, 2022, at 5:00 PM, in an unknown city within Grays Harbor county, along the 101 route increasing milepost direction at milepost 108.84. The location is a Rural - Principal Arterial, and the accident was intersection-related but did not occur at the intersection itself on a rural 2-lane road.The level of access control is Non Limited Access More Than Average Restriction, speed limit is 45, average annual daily traffic is 2500. The road width is 24 feet, the road surface is made of Bituminous, the right and left shoulders width is 6 feet and unknown width respectively, and the surface type of the left shoulder is unknown. This road is not median-separated, with an unknown type of barrier in the median and median width is 0 feet. Unknown if occurred in work zone, in daylight with wet road surface condition.There were no pedestrians involved, 1 vehicle involved. The accident has no influence of alcohol or drugs. There was one object involved, which was an Earth Bank or Ledge. Vehicle1 was moving southwest, in the direction of Decreasing milepost. Vehicle2's movement is unknown. The first vehicle was moving straight.The unit 1, is a Dump Truck, Interstate commercial vehicle with 3 axles. The airbag was not deployed. The vehicle had no defects. The driver was going straight ahead, was not ejected, and had no violations or contributing factors recorded in this incident. This unit had one person involved. Person 1: Motor Vehicle Driver, Male, 26, Lap & Shoulder Used.
</s><s>Assistant: <ZERO>
<\s>"
EC88628,"<s>Human: This incident occurred on September 25, 2022, at 12:00 PM, in an unknown city in Snohomish county, on the 005 route increasing milepost direction at milepost 0.14. The location is an Urban - Interstate, at an intersection and related to a driveway, although further location characteristics are unknown. The road classification at the time of the accident was an Urban Freeway with less than 4 lanes.The level of access control is unknown, speed limit is unknown, average annual daily traffic is 0. The road width is 12 feet, the road surface is made of Asphalt, the right and left shoulders width is 8 feet and 3 feet, respectively, and the surface type of the left shoulder is Asphalt. This road is not median-separated, with no information provided about the median barrier or the width of the median. The condition of the work zone is not specified, with daylight lighting and a dry road surface condition.There were no pedestrians involved, 2 vehicles involved. The accident has no influence of alcohol or drugs. There were objects involved; specifically, Vehicle2 was interacting with a Concrete Barrier/Jersey Barrier - Face. Vehicle1 was moving north, in the direction of increasing milepost, Vehicle2 was also moving north, in the direction of increasing milepost. The first vehicle was moving straight when the second vehicle, which was also moving straight, interacted with a concrete barrier.The unit 1, is a Vanette Under 10,000 lb, non-commercial vehicle. The Combination of Airbag Deployed. The vehicle had no defects. The driver was Going Straight Ahead, was Not Ejected, and contributed to the accident by Exceeding Reasonable Safe Speed and Disregarding Traffic Signs and Signals. Person 1: Motor Vehicle Driver, Female, 27, Lap & Shoulder Used.

The unit 2, is a Vanette Under 10,000 lb, non-commercial vehicle. The Combination of Airbag Deployed. The vehicle had no defects. The driver was Starting in Traffic Lane, was Not Ejected, and had no violations or factors contributing to the accident. Person 2: Motor Vehicle Driver, Male, 30, Lap & Shoulder Used.
</s><s>Assistant: <TWO>
<\s>"
EC31763,"<s>Human: This incident occurred on March 25, 2022, at 6:00 AM, in Spokane Valley, Spokane, on the 090 route increasing milepost direction at milepost 0.23. The location is an Urban - Interstate, at a place related to but not at an intersection, with no specific characteristics provided for the location. The road classification at the time of the accident was an Urban Freeway with less than 4 lanes.The level of access control is unknown, the speed limit is unknown, and the average annual daily traffic is 0. The road width is 24 feet, and the road surface is made of Asphalt. The right and left shoulders width is 9 feet and 4 feet, respectively, and the surface type of the left shoulder is Asphalt. This road is not median-separated, with unknown barrier type in the median and a median width of 0 feet. The work zone status is unknown, and the accident occurred in daylight with a dry road surface condition.There were no pedestrians involved, 2 vehicles involved. The accident has no influence of alcohol or drugs. There were no objects involved. Vehicle1 was moving West, in the direction of Increasing milepost, Vehicle2 was moving West, in the direction of Increasing milepost. The first vehicle was moving straight when the second vehicle was stopped in traffic, legally standing.The unit 1, is of unknown special vehicle type, not a commercial vehicle. The status of the airbag deployment is unknown. The vehicle had no defects. The driver was going straight ahead, was not ejected and had other contributing circumstances not listed. Person 1: Motor Vehicle Driver, unknown gender, unknown age, unknown restraint usage.

The unit 2, is of unknown special vehicle type, not a commercial vehicle. The airbag did not deploy. The vehicle also had no defects. The driver was stopped for traffic, was not ejected, and had no violations or contributing factors. Person 1: Motor Vehicle Driver, Female, 20, Lap & Shoulder Used.
</s><s>Assistant: <ZERO>
<\s>"
EC33268,"<s>Human: This incident occurred on March 27, 2022, at 8:00 PM, in an unknown city in Whatcom county, on route 544 increasing milepost direction at milepost 1.97. The location is an Urban - Collector, at an intersection and related to a driveway, although further location characteristics are unknown. The road where the accident took place is classified as an Urban 2 Lane Road.The level of access control is Non Limited Access Average Restriction, speed limit is 35, average annual daily traffic is 6600. The road width is 34, the road surface is made of Asphalt, the right and left shoulders width is 0, and the surface type of the left shoulder is unknown. This road is not median-separated and has no barriers in the median with the median width being 0. The condition of occurrence is unknown in the work zone, with the lighting condition being dark with street lights on and the road surface condition being dry.There were no pedestrians involved, 2 vehicles involved. The accident has no influence of alcohol or drugs. There were no objects involved. Vehicle1 was moving east, in the direction of increasing milepost, Vehicle2 was moving west, in the direction of decreasing milepost. The first vehicle was attempting to turn left when the second vehicle, which was moving straight.The unit 1 is an unknown special vehicle type, non-commercial vehicle. The airbag status is unknown. The vehicle had no defects. The driver was making a left turn, and there are no details provided about ejection or violations. Person 1: Motor Vehicle Passenger, Male, 57, Lap & Shoulder Used.

The unit 2 is an unknown special vehicle type, non-commercial vehicle. The airbag did not deploy. The vehicle had no defects. The driver was going straight ahead, was not ejected, and there were no violations or factors contributing to the crash. Person 2: Motor Vehicle Driver, Female, 48, Lap & Shoulder Used. Person 3: Motor Vehicle Driver, Female, 19, Lap & Shoulder Used.
</s><s>Assistant: <ZERO>
<\s>"
EC62898,"<s>Human: This incident occurred on July 9, 2022, at 1:00 AM, in Kennewick, Benton, on the 240 route increasing milepost direction at milepost 38.77. The location is an Urban - Principal Arterial, not at an intersection and not related to a driveway, and no further location characteristics available.The level of access control is Limited Access Fully Controlled, the speed limit is 60, and the average annual daily traffic is 31000. The road width is 48 feet, and the road surface is made of Asphalt, the right and left shoulders width is 10 and 3 feet, respectively, and the surface type of the left shoulder is Asphalt. This road has a median-separated with a DEPRESSED barrier, and the width of the median is 70 feet. The accident did not occur in a work zone, and at the time of the accident, the road surface was dry, and the lighting condition was Dark-No Street Lights.There were no pedestrians involved, 1 vehicle involved. The accident has no influence of alcohol or drugs. There was an object involved, which was a Roadway Ditch. Vehicle1 was moving northwest, in the direction of decreasing milepost. Vehicle2's movement direction and event are unknown. The first vehicle was moving straight.The unit 1, is of unknown special vehicle type, and is not a commercial vehicle. The airbags were not deployed. The vehicle had no defects reported. The driver was going straight ahead, was not ejected, and there were other contributing circumstances not listed. Person 1: Motor Vehicle Driver, unknown age and gender, used lap & shoulder seatbelt. Person 2: Motor Vehicle Passenger, Male, 27, used lap & shoulder seatbelt.
</s><s>Assistant: <ONE>
<\s>"
EC58667,"<s>Human: This incident occurred on June 24, 2022, at 13:00, in Kirkland, King County, on the 405 route increasing milepost direction at milepost 18.19. The location is an Urban - Interstate, not at an intersection and not related to a driveway. The specific characteristics of the location are unknown.The level of access control is Limited Access Fully Controlled, speed limit is 60, average annual daily traffic is 154,000. The road width is 72, the road surface is made of Asphalt, the right and left shoulders width is 10 and unknown respectively, and the surface type of the left shoulder is unknown. This road has a median-separated area with a Jersey type barrier and the median width is 20. Unknown in work zone, the conditions occurred during daylight with a dry road surface.There were no pedestrians involved, 2 vehicles involved. The accident has no influence of alcohol or drugs. There were no objects involved. Vehicle1 was moving in the direction of increasing milepost, Vehicle2 was also moving in the direction of increasing milepost. The first vehicle was moving straight when the second vehicle, which was also moving straight.The unit 1, is a Vanette Under 10,000 lb, non-commercial vehicle. The airbag was not deployed. The vehicle had no defects. The driver was going straight ahead, was not ejected and was following too closely. Person 1: Motor Vehicle Driver, Male, 52, Lap & Shoulder Used.

The unit 2, is an unknown type, non-commercial vehicle. The airbag was not deployed. The vehicle had no defects. The driver was slowing down, was not ejected, and no violations or factors were reported. Person 1: Motor Vehicle Driver, Female, 16, Lap & Shoulder Used.
</s><s>Assistant: <ZERO>
<\s>"
